%time,field.data
1742481005010009226,78.5714263916
1742481005507661556,78.5714263916
1742481006015479210,78.5714263916
1742481006517210566,80.0
1742481007020338057,80.0
1742481007508139781,77.1428604126
1742481008017121717,81.4285736084
1742481008520082672,77.1428604126
1742481009019128191,81.4285736084
1742481009515036778,78.5714263916
1742481010017648073,80.0
1742481010522094343,77.1428604126
1742481011023167092,78.5714263916
1742481011498548130,80.0
1742481012016215505,81.4285736084
1742481012526972462,82.8571395874
1742481013009869620,84.2857131958
1742481013506096748,82.8571395874
1742481014027745115,81.4285736084
1742481014517364859,87.1428604126
1742481015014566656,85.7142868042
1742481015515527802,80.0
1742481016018647796,77.1428604126
1742481016517068208,80.0
1742481017018575279,78.5714263916
1742481017514440646,78.5714263916
1742481018016242759,81.4285736084
1742481018523019480,78.5714263916
1742481019017325269,80.0
1742481019510830572,77.1428604126
1742481020014526330,81.4285736084
1742481020513879436,81.4285736084
1742481021014688211,78.5714263916
1742481021515876886,78.5714263916
1742481022010298178,81.4285736084
1742481022519246658,82.8571395874
1742481023015846645,80.0
1742481023517763963,80.0
1742481024021129233,78.5714263916
1742481024521895513,78.5714263916
1742481025016452681,81.4285736084
1742481025515900441,82.8571395874
1742481026022061538,82.8571395874
1742481026512884805,80.0
1742481027021475533,81.4285736084
1742481027516562934,82.8571395874
1742481028016114437,82.8571395874
1742481028518083994,84.2857131958
1742481029017313641,85.7142868042
1742481029516036034,100.0
1742481030020478110,100.0
1742481030516104247,100.0
1742481031017382398,92.8571395874
1742481031518812584,87.1428604126
1742481032014462941,81.4285736084
1742481032515215607,80.0
1742481033018429941,78.5714263916
1742481033516701435,78.5714263916
1742481034010738935,82.8571395874
1742481034511252595,77.1428604126
1742481035019860106,80.0
1742481035517943087,77.1428604126
1742481036012707525,75.7142868042
1742481036525357650,84.2857131958
1742481037016230019,78.5714263916
1742481037516033269,78.5714263916
1742481038025482595,77.1428604126
1742481038517097382,78.5714263916
1742481039016867415,80.0
1742481039515873239,80.0
1742481040005566625,80.0
1742481040518716699,80.0
1742481041017365831,74.2857131958
1742481041530574452,84.2857131958
1742481042027051848,78.5714263916
1742481042517562235,78.5714263916
1742481043018343703,77.1428604126
1742481043524298052,78.5714263916
1742481044032154958,78.5714263916
1742481044524113059,80.0
1742481045021448357,78.5714263916
1742481045514755114,78.5714263916
1742481046014726541,78.5714263916
1742481046521425256,78.5714263916
1742481047013602756,77.1428604126
1742481047514961010,80.0
1742481048015232691,81.4285736084
1742481048515503858,82.8571395874
1742481049018546073,90.0
1742481049528080514,100.0
1742481050014270673,94.2857131958
1742481050518797342,97.1428604126
1742481051020581776,98.5714263916
1742481051515102396,98.5714263916
1742481052011205344,92.8571395874
1742481052527868803,97.1428604126
1742481053019090864,92.8571395874
1742481053516452903,91.4285736084
1742481054017891604,91.4285736084
1742481054515277465,91.4285736084
1742481055015102166,90.0
1742481055528356439,90.0
1742481056016712232,92.8571395874
1742481056514760058,88.5714263916
1742481057009104786,87.1428604126
1742481057516805168,85.7142868042
1742481058021115593,87.1428604126
1742481058517635860,88.5714263916
1742481059016202565,88.5714263916
