%time,field.data
1742480866011867030,75.7142868042
1742480866512382429,70.0
1742480866999559521,78.5714263916
1742480867512922517,78.5714263916
1742480868009541116,77.1428604126
1742480868519700496,78.5714263916
1742480869011800006,77.1428604126
1742480869523411257,78.5714263916
1742480870011836599,78.5714263916
1742480870515873636,78.5714263916
1742480871014818368,77.1428604126
1742480871515998743,78.5714263916
1742480872011146786,78.5714263916
1742480872516164738,80.0
1742480873007522945,80.0
1742480873517128208,80.0
1742480874018295549,80.0
1742480874519602769,78.5714263916
1742480875016621616,78.5714263916
1742480875516225328,81.4285736084
1742480876008163364,80.0
1742480876508157150,78.5714263916
1742480877013229790,80.0
1742480877520349204,77.1428604126
1742480878019336383,81.4285736084
1742480878515586939,81.4285736084
1742480879009570273,74.2857131958
1742480879514590344,80.0
1742480880014519690,80.0
1742480880518841963,78.5714263916
1742480881013979715,80.0
1742480881518142053,78.5714263916
1742480882021905111,75.7142868042
1742480882517592714,77.1428604126
1742480883013805493,78.5714263916
1742480883517868570,81.4285736084
1742480884013932618,77.1428604126
1742480884514119037,80.0
1742480885013812185,74.2857131958
1742480885516029089,81.4285736084
1742480886014317791,77.1428604126
1742480886515097128,77.1428604126
1742480887021434748,75.7142868042
1742480887515086947,81.4285736084
1742480888014724479,75.7142868042
1742480888517258208,77.1428604126
1742480889015872546,78.5714263916
1742480889512202085,80.0
1742480890005644020,78.5714263916
1742480890513342734,81.4285736084
1742480891014422169,75.7142868042
1742480891519037764,81.4285736084
1742480892017297197,80.0
1742480892516315840,80.0
1742480893022456954,80.0
1742480893520783698,78.5714263916
1742480894007446729,70.0
1742480894517318902,78.5714263916
1742480895004081276,78.5714263916
1742480895517862696,81.4285736084
1742480896014693769,80.0
1742480896515174790,74.2857131958
1742480897014149055,67.1428604126
1742480897515159623,77.1428604126
1742480898012881117,78.5714263916
1742480898519236007,81.4285736084
1742480899015936257,80.0
1742480899515739194,80.0
1742480900017266977,80.0
1742480900535615748,77.1428604126
1742480901005544358,81.4285736084
1742480901519135146,80.0
1742480902013125633,78.5714263916
1742480902515652655,78.5714263916
1742480903011492842,77.1428604126
1742480903529865743,78.5714263916
1742480904017834201,78.5714263916
1742480904518519846,78.5714263916
1742480905015484333,77.1428604126
1742480905529713103,80.0
1742480906008957950,78.5714263916
1742480906519571024,71.4285736084
1742480907016124240,75.7142868042
1742480907523352088,74.2857131958
1742480908015186695,77.1428604126
1742480908516227864,77.1428604126
1742480909007062431,78.5714263916
1742480909520523493,68.5714263916
1742480910012620022,75.7142868042
1742480910517983377,78.5714263916
1742480911015072368,80.0
1742480911515240919,80.0
1742480912008006692,81.4285736084
1742480912516499399,71.4285736084
1742480913017012741,81.4285736084
1742480913514562270,80.0
1742480914020202803,80.0
1742480914518694447,80.0
1742480915014630378,81.4285736084
1742480915516252084,72.8571395874
1742480916014714909,81.4285736084
1742480916518819438,80.0
1742480917016048964,80.0
1742480917515328028,80.0
1742480918020019839,80.0
