%time,field.data
1742480948511982958,-56.0
1742480949015672049,-56.0
1742480949507012725,-56.0
1742480950011274417,-55.0
1742480950513115738,-54.0
1742480951013599952,-56.0
1742480951517257096,-55.0
1742480952017980622,-51.0
1742480952514247819,-54.0
1742480953002422550,-53.0
1742480953511746575,-54.0
1742480954024111312,-54.0
1742480954519957655,-54.0
1742480955028521205,-57.0
1742480955525435974,-55.0
1742480956005581700,-56.0
1742480956546644427,-54.0
1742480957016255400,-55.0
1742480957514551238,-55.0
1742480958022409683,-53.0
1742480958523416044,-54.0
1742480959015530884,-53.0
1742480959515928530,-54.0
1742480960015185253,-55.0
1742480960516577098,-53.0
1742480961022360103,-54.0
1742480961516947441,-56.0
1742480962013579174,-55.0
1742480962516818720,-54.0
1742480963016126068,-55.0
1742480963516750684,-50.0
1742480964009165167,-53.0
1742480964516091117,-57.0
1742480965011900948,-53.0
1742480965515711422,-54.0
1742480966016749971,-51.0
1742480966515756232,-53.0
1742480967011425287,-52.0
1742480967515733523,-55.0
1742480968015435662,-52.0
1742480968515128623,-51.0
1742480969025632067,-50.0
1742480969518855306,-50.0
1742480970027892863,-54.0
1742480970516885308,-54.0
1742480971028755606,-52.0
1742480971519338472,-49.0
1742480972017753046,-54.0
1742480972516846494,-52.0
1742480973013376652,-49.0
1742480973510770117,-50.0
1742480974013400645,-51.0
1742480974516014892,-52.0
1742480975005502761,-50.0
1742480975516636417,-53.0
1742480976017879785,-54.0
1742480976516730235,-55.0
1742480977016077223,-56.0
1742480977517438826,-54.0
1742480978006602249,-55.0
1742480978516628104,-53.0
1742480979015272348,-54.0
1742480979519959797,-55.0
1742480980015992090,-52.0
1742480980516035055,-52.0
1742480981017880570,-54.0
1742480981516042522,-54.0
1742480982017201809,-56.0
1742480982521595629,-57.0
1742480983010302346,-55.0
1742480983516474183,-51.0
1742480984028035537,-54.0
1742480984515658083,-54.0
