%time,field.data
1742481169028139235,78.5714263916
1742481169516996356,71.4285736084
1742481170010598464,80.0
1742481170513543211,81.4285736084
1742481171018732928,81.4285736084
1742481171536575451,75.7142868042
1742481172013634377,77.1428604126
1742481172514680714,75.7142868042
1742481173015688488,77.1428604126
1742481173516394470,77.1428604126
1742481174012063934,80.0
1742481174513668860,78.5714263916
1742481175023323925,78.5714263916
1742481175511075758,77.1428604126
1742481176015236103,78.5714263916
1742481176518418530,72.8571395874
1742481177018177610,80.0
1742481177515433266,81.4285736084
1742481178017880658,78.5714263916
1742481178519176936,78.5714263916
1742481179026297646,80.0
1742481179517940547,78.5714263916
1742481180011581555,80.0
1742481180517606194,85.7142868042
1742481181021264759,85.7142868042
1742481181514731647,77.1428604126
1742481182021327953,77.1428604126
1742481182525130800,80.0
1742481183015363286,77.1428604126
1742481183521337872,80.0
1742481184014939482,80.0
1742481184510587673,78.5714263916
1742481185014518283,78.5714263916
1742481185528711484,82.8571395874
1742481186018110702,80.0
1742481186526500164,81.4285736084
1742481187018608297,82.8571395874
1742481187516421991,90.0
1742481188008381457,97.1428604126
1742481188518096766,95.7142868042
1742481189013098172,100.0
1742481189519237463,88.5714263916
1742481190014690267,85.7142868042
1742481190505129256,82.8571395874
1742481191015338357,75.7142868042
1742481191515921140,75.7142868042
1742481192017005516,80.0
1742481192515924907,78.5714263916
1742481193021369452,78.5714263916
1742481193521171120,72.8571395874
1742481194016534526,74.2857131958
1742481194512536250,80.0
1742481195016467840,80.0
1742481195518618440,80.0
1742481196018751699,78.5714263916
1742481196509329490,75.7142868042
1742481197012531033,74.2857131958
1742481197516950937,78.5714263916
1742481198019690540,81.4285736084
1742481198520487486,80.0
1742481199017165297,77.1428604126
1742481199516092855,75.7142868042
1742481200022240627,70.0
1742481200524105217,80.0
1742481201014328265,77.1428604126
1742481201505449674,77.1428604126
1742481202019951226,75.7142868042
1742481202511583698,75.7142868042
1742481203018616238,77.1428604126
1742481203522132550,81.4285736084
1742481204015486560,81.4285736084
1742481204521398315,85.7142868042
1742481205017688039,80.0
1742481205528421876,82.8571395874
1742481206017559934,80.0
1742481206537193474,81.4285736084
1742481207013337815,80.0
1742481207512315837,81.4285736084
1742481208012945016,84.2857131958
1742481208523008257,82.8571395874
1742481209014473309,88.5714263916
1742481209516716183,80.0
1742481210015011905,95.7142868042
1742481210516840632,94.2857131958
1742481211023255706,98.5714263916
1742481211513291340,100.0
1742481212014460383,100.0
1742481212518749334,100.0
1742481213026194789,98.5714263916
1742481213515165054,100.0
1742481214016240157,100.0
1742481214526486881,100.0
1742481215008717740,100.0
1742481215515521080,100.0
1742481216016309749,100.0
1742481216517839060,100.0
1742481217008344164,100.0
1742481217515620341,100.0
1742481218011495005,100.0
1742481218512076434,100.0
