%time,field.data
1742481239015063937,-58.0
1742481239515406985,-57.0
1742481240014254058,-57.0
1742481240516899222,-57.0
1742481241016447800,-56.0
1742481241513199118,-53.0
1742481242022467328,-57.0
1742481242518950360,-57.0
1742481243016244237,-57.0
1742481243510264852,-57.0
1742481244018178839,-54.0
1742481244516267088,-52.0
1742481245012895819,-57.0
1742481245513672250,-54.0
1742481246011477451,-54.0
1742481246514386273,-55.0
1742481247015557956,-55.0
1742481247501706704,-58.0
1742481248013591164,-57.0
1742481248517040169,-52.0
1742481249017490888,-54.0
1742481249507537731,-56.0
1742481250013738591,-52.0
1742481250519220252,-53.0
1742481251019398490,-52.0
1742481251524274783,-52.0
1742481252017213060,-56.0
1742481252519208450,-52.0
1742481253019028736,-53.0
1742481253514968818,-53.0
1742481254016391108,-52.0
1742481254519141288,-49.0
1742481255016773853,-50.0
1742481255515955400,-47.0
1742481256022674713,-48.0
1742481256522880649,-47.0
1742481257014671509,-44.0
1742481257521348950,-52.0
1742481258013712315,-51.0
1742481258520518363,-53.0
1742481259012069791,-52.0
1742481259507960189,-52.0
1742481260016536485,-54.0
1742481260517304053,-55.0
1742481261032047952,-54.0
1742481261515986184,-54.0
1742481262023684510,-55.0
1742481262515977706,-54.0
1742481263016524131,-55.0
1742481263519834978,-54.0
1742481264019159332,-55.0
1742481264518901906,-55.0
1742481265018997284,-56.0
1742481265516128938,-54.0
1742481266015700746,-55.0
1742481266510906968,-55.0
1742481267012420348,-54.0
1742481267515778626,-56.0
1742481268012653390,-56.0
1742481268516927374,-55.0
1742481269016480244,-54.0
1742481269514039273,-56.0
1742481270014567995,-54.0
1742481270519701433,-59.0
1742481271017148118,-56.0
1742481271521397458,-54.0
1742481272015691435,-56.0
1742481272523530037,-55.0
1742481273020981232,-54.0
1742481273517203648,-54.0
1742481274002779511,-54.0
1742481274515884232,-52.0
1742481275021917437,-54.0
1742481275519486214,-55.0
1742481276004780264,-53.0
1742481276519886280,-52.0
1742481277015126388,-52.0
1742481277514837833,-46.0
1742481278021211138,-44.0
1742481278517245592,-44.0
1742481279020847270,-43.0
1742481279514749420,-43.0
1742481280009691830,-43.0
1742481280515780303,-48.0
1742481281014780020,-46.0
1742481281515405928,-47.0
1742481282009286778,-45.0
1742481282514396842,-47.0
1742481283018867202,-45.0
1742481283518614475,-46.0
1742481284012990992,-46.0
1742481284523347282,-45.0
1742481285029599904,-45.0
1742481285516371239,-46.0
1742481286014281404,-42.0
1742481286513443864,-45.0
1742481287011570114,-48.0
1742481287511651332,-45.0
1742481288017795132,-45.0
1742481288510708608,-46.0
