%time,field.data
1742481304016601643,75.7142868042
1742481304514464484,81.4285736084
1742481305010799570,82.8571395874
1742481305516690940,81.4285736084
1742481306019653017,81.4285736084
1742481306509820377,75.7142868042
1742481307014638820,78.5714263916
1742481307511590587,80.0
1742481308013801508,77.1428604126
1742481308508590767,74.2857131958
1742481309019417969,75.7142868042
1742481309522212716,77.1428604126
1742481310016261830,78.5714263916
1742481310514976730,80.0
1742481311021789624,78.5714263916
1742481311516075809,81.4285736084
1742481312014995803,80.0
1742481312517176474,81.4285736084
1742481313015238253,80.0
1742481313517873267,81.4285736084
1742481314015651123,82.8571395874
1742481314514882917,81.4285736084
1742481315018760228,81.4285736084
1742481315525483203,82.8571395874
1742481316010550558,80.0
1742481316522774655,68.5714263916
1742481317018804243,84.2857131958
1742481317514817162,82.8571395874
1742481318017056137,80.0
1742481318526365286,81.4285736084
1742481319006897437,77.1428604126
1742481319515397446,78.5714263916
1742481320017539755,78.5714263916
1742481320518695169,78.5714263916
1742481321006700688,80.0
1742481321518745936,77.1428604126
1742481322021150747,77.1428604126
1742481322519598638,74.2857131958
1742481323007937321,78.5714263916
1742481323519504886,78.5714263916
1742481324013694640,77.1428604126
1742481324515276937,77.1428604126
1742481325011152926,78.5714263916
1742481325520334736,75.7142868042
1742481326019752332,80.0
1742481326512332968,81.4285736084
1742481327010565841,81.4285736084
1742481327513486639,82.8571395874
1742481328014699267,87.1428604126
1742481328516857141,80.0
1742481328999824272,80.0
1742481329524623903,85.7142868042
1742481330017516323,78.5714263916
1742481330518518947,80.0
1742481331017442484,81.4285736084
1742481331515931030,78.5714263916
1742481332017351098,78.5714263916
1742481332517158835,77.1428604126
1742481333005118110,78.5714263916
1742481333516090480,75.7142868042
1742481334019783299,77.1428604126
1742481334518514896,77.1428604126
1742481335008645534,75.7142868042
1742481335521741531,77.1428604126
1742481336017873552,78.5714263916
1742481336516534419,77.1428604126
1742481337017130926,77.1428604126
1742481337515246460,78.5714263916
1742481338018772103,75.7142868042
1742481338514751041,78.5714263916
1742481339011184828,81.4285736084
1742481339521263256,74.2857131958
1742481340016571102,75.7142868042
1742481340515774319,81.4285736084
1742481341010857923,77.1428604126
1742481341526175195,77.1428604126
1742481342011066488,78.5714263916
1742481342518169692,77.1428604126
1742481343014448487,75.7142868042
1742481343522972128,78.5714263916
1742481344012625046,67.1428604126
1742481344518573297,77.1428604126
1742481345018918241,80.0
1742481345516734994,77.1428604126
1742481346015062945,77.1428604126
1742481346516487778,80.0
1742481347020562056,74.2857131958
1742481347516411197,80.0
1742481348018161896,80.0
1742481348515812727,81.4285736084
1742481349013386824,81.4285736084
1742481349527010677,81.4285736084
1742481350016573554,84.2857131958
1742481350517070173,84.2857131958
1742481351014843313,87.1428604126
1742481351519529339,84.2857131958
1742481352014012434,84.2857131958
1742481352518880416,85.7142868042
1742481353018913603,80.0
1742481353512939368,84.2857131958
1742481354021381252,85.7142868042
1742481354515968533,85.7142868042
1742481355017296663,84.2857131958
1742481355503080951,85.7142868042
1742481356015825038,84.2857131958
1742481356525078836,84.2857131958
1742481357012089003,85.7142868042
1742481357515096830,84.2857131958
