%time,field.data
1742480948512017955,77.1428604126
1742480949015686586,77.1428604126
1742480949507054424,77.1428604126
1742480950011270391,78.5714263916
1742480950513111702,80.0
1742480951013634213,77.1428604126
1742480951517252874,78.5714263916
1742480952018004531,84.2857131958
1742480952514290134,80.0
1742480953002441232,81.4285736084
1742480953511802612,80.0
1742480954024141630,80.0
1742480954519978476,80.0
1742480955028559321,75.7142868042
1742480955525455429,78.5714263916
1742480956005606796,77.1428604126
1742480956546673843,80.0
1742480957016276390,78.5714263916
1742480957514554804,78.5714263916
1742480958022438039,81.4285736084
1742480958523449992,80.0
1742480959015557407,81.4285736084
1742480959515976346,80.0
1742480960015206139,78.5714263916
1742480960516594419,81.4285736084
1742480961022366380,80.0
1742480961516951878,77.1428604126
1742480962013602924,78.5714263916
1742480962516837876,80.0
1742480963016174691,78.5714263916
1742480963516788762,85.7142868042
1742480964009179798,81.4285736084
1742480964516107317,75.7142868042
1742480965011955476,81.4285736084
1742480965515724557,80.0
1742480966016798629,84.2857131958
1742480966515820205,81.4285736084
1742480967011452196,82.8571395874
1742480967515757104,78.5714263916
1742480968015435608,82.8571395874
1742480968515175160,84.2857131958
1742480969025661583,85.7142868042
1742480969518877738,85.7142868042
1742480970027919448,80.0
1742480970516890729,80.0
1742480971028786573,82.8571395874
1742480971519377603,87.1428604126
1742480972017776770,80.0
1742480972516882474,82.8571395874
1742480973013379052,87.1428604126
1742480973510809236,85.7142868042
1742480974013434669,84.2857131958
1742480974516031230,82.8571395874
1742480975005534873,85.7142868042
1742480975516686496,81.4285736084
1742480976017881020,80.0
1742480976516762810,78.5714263916
1742480977016108210,77.1428604126
1742480977517455184,80.0
1742480978006614982,78.5714263916
1742480978516665409,81.4285736084
1742480979015312248,80.0
1742480979520000186,78.5714263916
1742480980016055366,82.8571395874
1742480980516097692,82.8571395874
1742480981017900709,80.0
1742480981516093070,80.0
1742480982017222890,77.1428604126
1742480982521649861,75.7142868042
1742480983010379415,78.5714263916
1742480983516498874,84.2857131958
1742480984028053985,80.0
1742480984515658057,80.0
