%time,field.data
1742481089510348471,77.1428604126
1742481090014499774,75.7142868042
1742481090517585905,77.1428604126
1742481091019791793,77.1428604126
1742481091539895865,75.7142868042
1742481092022776031,77.1428604126
1742481092522461066,78.5714263916
1742481093014704919,72.8571395874
1742481093516901502,74.2857131958
1742481094016701062,78.5714263916
1742481094512731032,78.5714263916
1742481095023190056,75.7142868042
1742481095520546721,77.1428604126
1742481096012392457,75.7142868042
1742481096515106741,78.5714263916
1742481097013286612,80.0
1742481097518958018,78.5714263916
1742481098016096523,80.0
1742481098521391434,78.5714263916
1742481099015554798,74.2857131958
1742481099517352493,78.5714263916
1742481100022483893,78.5714263916
1742481100516676571,77.1428604126
1742481101020138371,78.5714263916
1742481101516845303,74.2857131958
1742481102022677545,75.7142868042
1742481102517491055,74.2857131958
1742481102999287022,77.1428604126
1742481103514751714,78.5714263916
1742481104020910892,75.7142868042
1742481104516515755,78.5714263916
1742481105008659811,78.5714263916
1742481105516452002,78.5714263916
1742481106013897578,78.5714263916
1742481106517215898,82.8571395874
1742481107018498200,81.4285736084
1742481107519290544,78.5714263916
1742481108012898665,82.8571395874
1742481108517208200,85.7142868042
1742481109011633054,82.8571395874
1742481109523381987,81.4285736084
1742481110020487865,84.2857131958
1742481110513616159,87.1428604126
1742481111018435456,85.7142868042
1742481111518042173,82.8571395874
1742481112015068805,81.4285736084
1742481112521052596,82.8571395874
1742481113018717681,78.5714263916
1742481113515545670,80.0
1742481114014791455,77.1428604126
1742481114517603628,75.7142868042
1742481115015060236,75.7142868042
1742481115516253499,75.7142868042
1742481116016525362,75.7142868042
1742481116515243060,75.7142868042
1742481117019620163,78.5714263916
1742481117515152389,64.2857131958
1742481118011812900,77.1428604126
1742481118530934824,81.4285736084
1742481119010116586,80.0
1742481119511364008,81.4285736084
1742481120014957149,81.4285736084
1742481120515850894,77.1428604126
1742481121017419778,77.1428604126
1742481121516200812,78.5714263916
1742481122018608794,77.1428604126
1742481122518911993,75.7142868042
1742481123018621949,78.5714263916
1742481123517547764,71.4285736084
1742481124013803291,77.1428604126
1742481124518456675,78.5714263916
1742481125016234297,78.5714263916
1742481125515425675,80.0
1742481126015762693,77.1428604126
1742481126518961676,80.0
1742481127015242163,78.5714263916
1742481127516549708,78.5714263916
1742481128017703520,80.0
1742481128515187441,78.5714263916
1742481129024247093,78.5714263916
1742481129516027952,80.0
1742481130030124306,78.5714263916
1742481130528240075,80.0
1742481131017332068,80.0
1742481131501328089,80.0
1742481132013348972,80.0
1742481132511268361,81.4285736084
1742481133017137311,78.5714263916
1742481133519473700,81.4285736084
1742481134015206544,82.8571395874
1742481134517453234,82.8571395874
1742481135017652944,85.7142868042
1742481135506577070,81.4285736084
1742481136018928914,77.1428604126
1742481136516243393,82.8571395874
1742481137023612447,84.2857131958
1742481137507822832,82.8571395874
1742481138009284871,82.8571395874
1742481138516561568,82.8571395874
1742481139015797186,80.0
1742481139516262783,82.8571395874
1742481140020900779,82.8571395874
1742481140513515461,84.2857131958
1742481141016660741,84.2857131958
1742481141512690656,85.7142868042
1742481142013502040,80.0
1742481142515767372,84.2857131958
1742481143016286469,84.2857131958
1742481143511583438,84.2857131958
1742481144021277521,82.8571395874
1742481144519175276,81.4285736084
1742481145016616128,81.4285736084
1742481145524312593,82.8571395874
1742481146012418626,84.2857131958
