%time,field.data
1742481169028128706,-55.0
1742481169516943958,-60.0
1742481170010572512,-54.0
1742481170513532537,-53.0
1742481171018752675,-53.0
1742481171536566610,-57.0
1742481172013594987,-56.0
1742481172514621675,-57.0
1742481173015666538,-56.0
1742481173516331195,-56.0
1742481174012029201,-54.0
1742481174513600854,-55.0
1742481175023309720,-55.0
1742481175511032264,-56.0
1742481176015213448,-55.0
1742481176518373588,-59.0
1742481177018136675,-54.0
1742481177515388635,-53.0
1742481178017869251,-55.0
1742481178518557234,-55.0
1742481179026292335,-54.0
1742481179517901320,-55.0
1742481180011534110,-54.0
1742481180517514622,-50.0
1742481181021219548,-50.0
1742481181514716374,-56.0
1742481182021255322,-56.0
1742481182525123728,-54.0
1742481183015289819,-56.0
1742481183521321228,-54.0
1742481184014923138,-54.0
1742481184510558356,-55.0
1742481185014446970,-55.0
1742481185528708609,-52.0
1742481186018103086,-54.0
1742481186526487410,-53.0
1742481187018583220,-52.0
1742481187516419911,-47.0
1742481188008343071,-42.0
1742481188518041744,-43.0
1742481189013065932,-38.0
1742481189519190651,-48.0
1742481190014691661,-50.0
1742481190505119293,-52.0
1742481191015338372,-57.0
1742481191515908042,-57.0
1742481192016994588,-54.0
1742481192515857328,-55.0
1742481193021363609,-55.0
1742481193521114538,-59.0
1742481194016542734,-58.0
1742481194506732692,-54.0
1742481195016459088,-54.0
1742481195518574473,-54.0
1742481196018744697,-55.0
1742481196509282280,-57.0
1742481197012505800,-58.0
1742481197516918197,-55.0
1742481198019670476,-53.0
1742481198520467872,-54.0
1742481199016696548,-56.0
1742481199516042574,-57.0
1742481200022176547,-61.0
1742481200524084844,-54.0
1742481201014329274,-56.0
1742481201505414397,-56.0
1742481202019926826,-57.0
1742481202511536625,-57.0
1742481203018584748,-56.0
1742481203522124384,-53.0
1742481204015459112,-53.0
1742481204521372224,-50.0
1742481205017627553,-54.0
1742481205528402295,-52.0
1742481206017537308,-54.0
1742481206535875962,-53.0
1742481207013279557,-54.0
1742481207512315714,-53.0
1742481208012929235,-51.0
1742481208522959993,-52.0
1742481209014444422,-48.0
1742481209516695898,-54.0
1742481210014986271,-43.0
1742481210516844471,-44.0
1742481211023206303,-41.0
1742481211513270252,-36.0
1742481212014418719,-33.0
1742481212518680818,-36.0
1742481213026168921,-41.0
1742481213515144608,-40.0
1742481214016205265,-34.0
1742481214526464968,-35.0
1742481215008696314,-34.0
1742481215515494405,-40.0
1742481216016284623,-39.0
1742481216517800124,-36.0
1742481217008298825,-38.0
1742481217515600913,-36.0
1742481218011451399,-34.0
1742481218512013962,-35.0
