%time,field.data
1742480866011861967,-57.0
1742480866512382496,-61.0
1742480866999498065,-55.0
1742480867512913157,-55.0
1742480868009481339,-56.0
1742480868519639621,-55.0
1742480869011783614,-56.0
1742480869523396670,-55.0
1742480870011765645,-55.0
1742480870515855638,-55.0
1742480871014810148,-56.0
1742480871515969666,-55.0
1742480872011104677,-55.0
1742480872516161364,-54.0
1742480873007506539,-54.0
1742480873517094459,-54.0
1742480874018251360,-54.0
1742480874519459683,-55.0
1742480875016580420,-55.0
1742480875516215375,-53.0
1742480876008116536,-54.0
1742480876508130049,-55.0
1742480877013195804,-54.0
1742480877520320890,-56.0
1742480878019323914,-53.0
1742480878515569888,-53.0
1742480879009546690,-58.0
1742480879514565744,-54.0
1742480880014502104,-54.0
1742480880518803300,-55.0
1742480881013979738,-54.0
1742480881518093301,-55.0
1742480882021850689,-57.0
1742480882517592759,-56.0
1742480883013811009,-55.0
1742480883517798720,-53.0
1742480884013932644,-56.0
1742480884514119974,-54.0
1742480885013812212,-58.0
1742480885516029062,-53.0
1742480886014303767,-56.0
1742480886515097096,-56.0
1742480887021434718,-57.0
1742480887515046070,-53.0
1742480888014727866,-57.0
1742480888516237380,-56.0
1742480889015877945,-55.0
1742480889512158824,-54.0
1742480890005601627,-55.0
1742480890513342762,-53.0
1742480891014343109,-57.0
1742480891519037786,-53.0
1742480892017268990,-54.0
1742480892516241496,-54.0
1742480893022441597,-54.0
1742480893520783128,-55.0
1742480894007399509,-61.0
1742480894517309540,-55.0
1742480895004038113,-55.0
1742480895517828633,-53.0
1742480896014682180,-54.0
1742480896515121710,-58.0
1742480897014109169,-63.0
1742480897515104475,-56.0
1742480898012831298,-55.0
1742480898519244811,-53.0
1742480899015899184,-54.0
1742480899515737376,-54.0
1742480900017208018,-54.0
1742480900535565446,-56.0
1742480901005501661,-53.0
1742480901519078596,-54.0
1742480902013076200,-55.0
1742480902515613170,-55.0
1742480903011457335,-56.0
1742480903529853399,-55.0
1742480904017792237,-55.0
1742480904518502741,-55.0
1742480905015408624,-56.0
1742480905529680019,-54.0
1742480906008898411,-55.0
1742480906518365363,-60.0
1742480907016127883,-57.0
1742480907523048943,-58.0
1742480908015147350,-56.0
1742480908516208111,-56.0
1742480909007035982,-55.0
1742480909520523525,-62.0
1742480910012592507,-57.0
1742480910517974193,-55.0
1742480911015059709,-54.0
1742480911515200886,-54.0
1742480912007996203,-53.0
1742480912516452137,-60.0
1742480913017046130,-53.0
1742480913514520797,-54.0
1742480914020192317,-54.0
1742480914518700926,-54.0
1742480915014608763,-53.0
1742480915516216681,-59.0
1742480916014664165,-53.0
1742480916518799933,-54.0
1742480917016039894,-54.0
1742480917515257410,-54.0
1742480918019964911,-54.0
